domain,category,subcategory,products
consumer_electronics,Accessories,Cleaning Kits,1000
consumer_electronics,Accessories,Device Stands,2500
consumer_electronics,Accessories,Protective Sleeves,2000
consumer_electronics,Accessories,Remote Controls,1000
consumer_electronics,Accessories,Screen Protectors,1500
consumer_electronics,Accessories,Travel Organizers,2000
consumer_electronics,Audio,DACs & Amplifiers,3000
consumer_electronics,Audio,Gaming Headsets,5000
consumer_electronics,Audio,Over-Ear Headphones,17000
consumer_electronics,Audio,Portable Speakers,8000
consumer_electronics,Audio,Soundbars,4000
consumer_electronics,Audio,Studio Microphones,5000
consumer_electronics,Audio,True Wireless Earbuds,13000
consumer_electronics,Computing,External Storage,2000
consumer_electronics,Computing,Laptops,9000
consumer_electronics,Computing,Mechanical Keyboards,5000
consumer_electronics,Computing,Mini PCs,3000
consumer_electronics,Computing,Portable Monitors,6000
consumer_electronics,Computing,Tablets,7000
consumer_electronics,Computing,Wireless Mice,4000
consumer_electronics,Gaming,Game Controllers,4000
consumer_electronics,Gaming,Gaming Monitors,4000
consumer_electronics,Gaming,Handheld Consoles,2000
consumer_electronics,Gaming,Racing Wheels,2000
consumer_electronics,Gaming,Streaming Capture Cards,2000
consumer_electronics,Imaging,Action Cameras,3000
consumer_electronics,Imaging,Camera Lenses,3000
consumer_electronics,Imaging,Digital Binoculars,1000
consumer_electronics,Imaging,Gimbals,1000
consumer_electronics,Imaging,Mirrorless Cameras,4000
consumer_electronics,Imaging,Photo Printers,2000
consumer_electronics,Mobile & Power,Cables & Adapters,4000
consumer_electronics,Mobile & Power,Charging Docks,4000
consumer_electronics,Mobile & Power,Phone Cases,4000
consumer_electronics,Mobile & Power,Power Banks,6000
consumer_electronics,Mobile & Power,USB-C Chargers,7000
consumer_electronics,Networking,Mesh Wi-Fi Systems,5000
consumer_electronics,Networking,Mobile Hotspots,2000
consumer_electronics,Networking,Network Switches,3000
consumer_electronics,Networking,Range Extenders,1000
consumer_electronics,Networking,Wi-Fi Routers,7000
consumer_electronics,Smart Home,Home Hubs,1000
consumer_electronics,Smart Home,Security Cameras,5000
consumer_electronics,Smart Home,Smart Lighting,4000
consumer_electronics,Smart Home,Smart Plugs,2000
consumer_electronics,Smart Home,Smart Thermostats,3000
