source_batch,source_filename,output_filename,status,note
chatgpt-2026-08-09-ho-b02,"ChatGPT Image Aug 9, 2026, 07_38_03 PM (1).png",ho-quiet-keyboards-01-catalog-3x2.webp,installed,Keysmith MX Quiet; content-verified TKL mechanical
chatgpt-2026-08-09-ho-b02,"ChatGPT Image Aug 9, 2026, 07_39_20 PM.png",ho-quiet-keyboards-02-catalog-3x2.webp,installed,"HushType Studio S; content-verified compact, regenerated after gap at index 2"
chatgpt-2026-08-09-ho-b02,"ChatGPT Image Aug 9, 2026, 07_38_06 PM (3).png",ho-ergonomic-keyboards-catalog-3x2.webp,installed,NestForm EK-E487X; content-verified split/curved
chatgpt-2026-08-09-ho-b02,"ChatGPT Image Aug 9, 2026, 07_38_07 PM (4).png",ho-graphic-tablets-catalog-3x2.webp,installed,ContourCollective GT-C290S; content-verified tablet + stylus
chatgpt-2026-08-09-ho-b02,"ChatGPT Image Aug 9, 2026, 07_38_07 PM (5).png",ho-drawer-units-catalog-3x2.webp,installed,FormLiving DU-E976S; content-verified 3-drawer
chatgpt-2026-08-09-ho-b02,"ChatGPT Image Aug 9, 2026, 07_38_07 PM (6).png",ho-cable-management-catalog-3x2.webp,installed,CraftDesk CM-S866X; content-verified clamp tray
chatgpt-2026-08-09-ho-b02,"ChatGPT Image Aug 9, 2026, 07_38_08 PM (7).png",ho-file-cabinets-catalog-3x2.webp,installed,DeskStudio FC-S799X; content-verified lockable cabinet
chatgpt-2026-08-09-ho-b02,"ChatGPT Image Aug 9, 2026, 07_38_08 PM (8).png",ho-footrests-catalog-3x2.webp,installed,CalmLab F-S230S; content-verified cushioned footrest
chatgpt-2026-08-09-ho-b02,"ChatGPT Image Aug 9, 2026, 07_38_08 PM (9).png",ho-laptop-stands-catalog-3x2.webp,installed,Riser HiRise 3; ANCHOR; content-verified laptop+phone stand
chatgpt-2026-08-09-ho-b02,"ChatGPT Image Aug 9, 2026, 07_38_08 PM (10).png",ho-anti-fatigue-mats-catalog-3x2.webp,installed,ArcForm AM-F299S; content-verified contoured mat
