source_batch,source_filename,output_filename,status,note
chatgpt-2026-08-09-rf-b01,"ChatGPT Image Aug 9, 2026, 07_46_13 PM (1).png",rf-leggings-tights-catalog-3x2.webp,installed,VeloFit L&T-M640P; content-verified folded maroon leggings
chatgpt-2026-08-09-rf-b01,"ChatGPT Image Aug 9, 2026, 07_46_15 PM (2).png",rf-compression-wear-catalog-3x2.webp,installed,StrideWorks CW-X251S; content-verified long-sleeve + short set
chatgpt-2026-08-09-rf-b01,"ChatGPT Image Aug 9, 2026, 07_46_18 PM (3).png",rf-exercise-bikes-catalog-3x2.webp,installed,SwiftDynamics EB-A682S; content-verified upright spin bike
chatgpt-2026-08-09-rf-b01,"ChatGPT Image Aug 9, 2026, 07_46_19 PM (4).png",rf-rowing-machines-catalog-3x2.webp,installed,TrailDynamics RM-A234; ANCHOR; content-verified wood rail rower
chatgpt-2026-08-09-rf-b01,"ChatGPT Image Aug 9, 2026, 07_46_22 PM (5).png",rf-ellipticals-catalog-3x2.webp,installed,PeakAthletics E-X587; content-verified elliptical trainer
chatgpt-2026-08-09-rf-b01,"ChatGPT Image Aug 9, 2026, 07_46_23 PM (6).png",rf-jump-ropes-catalog-3x2.webp,installed,FlexLab JR-S392S; content-verified coiled rope + handles
chatgpt-2026-08-09-rf-b01,"ChatGPT Image Aug 9, 2026, 07_46_26 PM (7).png",rf-electrolyte-mixers-catalog-3x2.webp,installed,TempoPeak EM-Z212S; content-verified shaker bottle
chatgpt-2026-08-09-rf-b01,"ChatGPT Image Aug 9, 2026, 07_46_28 PM (8).png",rf-running-belts-catalog-3x2.webp,installed,PeakAthletics RB-N906; content-verified zip waist belt
chatgpt-2026-08-09-rf-b01,"ChatGPT Image Aug 9, 2026, 07_46_30 PM (9).png",rf-reflective-gear-catalog-3x2.webp,installed,RiseLab RG-F975X; content-verified reflective harness set
chatgpt-2026-08-09-rf-b01,"ChatGPT Image Aug 9, 2026, 07_46_32 PM (10).png",rf-race-bib-holders-catalog-3x2.webp,installed,SwiftSport RBH-K828S; ANCHOR; content-verified bib plate + magnets
